"TOACI1","header house growth cabinets","growth_cabinets"
"TMSTAMP","RECNBR","batt_volt_Avg","temp107_Avg(1)","temp107_Avg(2)","temp107_Avg(3)","temp107_ids(1)","temp107_ids(2)","temp107_ids(3)","temp_locations(1)","temp_locations(2)","temp_locations(3)"
"2021-06-04 15:00:00",0,12.66873,15.41196,17.08562,17.82743,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 16:00:00",1,12.67301,14.23724,17.49198,18.43332,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 17:00:00",2,12.66746,13.63615,15.65844,15.93734,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 18:00:00",3,12.6629,11.70475,11.59897,11.60941,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 19:00:00",4,12.65725,10.11452,9.661558,9.65618,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 20:00:00",5,12.65361,9.499161,8.86804,8.874994,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 21:00:00",6,12.64707,9.111315,8.346176,8.344596,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 22:00:00",7,12.64412,8.562265,7.742373,7.739879,"27","c14","c10","Floor","1metre","2metre"
"2021-06-04 23:00:00",8,12.63919,8.338265,7.499174,7.455555,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 00:00:00",9,12.63488,8.129157,7.285157,7.228525,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 01:00:00",10,12.63437,7.816599,6.923656,6.861969,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 02:00:00",11,12.63016,7.521783,6.642996,6.604786,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 03:00:00",12,12.62799,7.224539,6.287228,6.27116,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 04:00:00",13,12.6236,7.056305,6.19626,6.175547,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 05:00:00",14,12.62337,6.962312,6.080935,6.055811,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 06:00:00",15,12.62149,6.7808,5.91365,5.895,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 07:00:00",16,12.61779,6.74336,5.934005,5.915729,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 08:00:00",17,12.61728,6.785693,6.148998,6.066852,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 09:00:00",18,12.61604,7.873898,8.166605,8.13636,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 10:00:00",19,12.61782,9.697769,11.63632,12.49783,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 11:00:00",20,12.62174,11.07328,14.12844,15.74601,"27","c14","c10","Floor","1metre","2metre"
"2021-06-05 12:00:00",21,12.62282,12.30606,16.07534,18.28693,"27","c14","c10","Floor","1metre","2metre"
